firm_name,hat_theta_f,s_f,s_f_squared,hat_theta_f_star,z_f,p_f,hat_F_p,q_f
AECOM,0.005347593582887708,0.005354230417897517,2.8667783367939017e-05,0.006809829207957336,0.9987604502436758,0.15895537457604947,0.5670103092783505,0.10982371334345235
AT&T,0.009786316211878004,0.016910072610266946,0.00028595055568450035,0.015504922156547774,0.5787270366855932,0.28138668497015407,0.711340206185567,0.15496658012849066
Advance Auto Parts,0.07396095340759373,0.022225894416321803,0.0004939903826054847,0.04024947455144105,3.327693006283688,0.00043784153420911576,0.030927835051546393,0.0055459927666488
Aramark,0.019390911253866286,0.011831531085319471,0.00013998512782288094,0.019964289398966988,1.6389181682433707,0.050615151696507765,0.36082474226804123,0.05495359327049415
Ascena (Ann Taylor / Loft),0.06779661016949151,0.02293426647683005,0.0005259805788302507,0.03734672240133115,2.956127253425996,0.00155764264982583,0.05154639175257732,0.011838084138676307
AutoNation,0.052666984480110174,0.014999760759365757,0.0002249928228382088,0.03862009099636225,3.5111882999350663,0.00022305414124668133,0.020618556701030927,0.004238028683686945
AutoZone,0.05399999999999999,0.021560436324583807,0.0004648524145064329,0.033487090449120724,2.504587531859348,0.006129713324369956,0.14432989690721648,0.01663779330900417
Avis-Budget,-0.01676931021019884,0.014449024311574396,0.00020877430355646794,-0.0006021858821007673,-1.1605842615107083,0.8770944955728233,0.9587628865979382,0.35838269711577725
Bath & Body Works,0.04040404040404039,0.018461162210342188,0.00034081451015656645,0.02982070598726498,2.1885967927525987,0.014313079573540555,0.21649484536082475,0.025899858275930526
Bed Bath & Beyond,0.04008016032064132,0.01598089307224026,0.00025538894338637667,0.031039521494841377,2.5080050369815,0.00607074681931663,0.13402061855670103,0.017745259933387075
Best Buy,0.028260869565217395,0.01809153972061474,0.00032730380946258093,0.024411137690602616,1.5621041659055155,0.059131725831558124,0.3917525773195876,0.059131725831558124
Builders FirstSource,0.027752103329778406,0.016605586802598108,0.0002757455130586205,0.024460377896960695,1.671250986772495,0.04733605656052742,0.35051546391752575,0.05290500439117771
CBRE,0.006812417229691815,0.006712728718764249,4.5060726851722316e-05,0.008792238835273011,1.0148506687971621,0.1550885082629505,0.5567010309278351,0.10913635766652072
CVS Health,0.015364048513969074,0.011338419130290947,0.00012855974837414771,0.017171160768699095,1.355043268150454,0.08770188599658246,0.4639175257731959,0.07405937039711408
CarMax,0.0011188513126523247,0.024633195165725666,0.0006067943040727303,0.01479344317475321,0.04542047043126103,0.48188608238971786,0.7835051546391752,0.24094304119485893
Cardinal Health,0.03407710989678203,0.02145421074285933,0.0004602831585990207,0.026020932291346707,1.588364648097065,0.056101953307333696,0.3711340206185567,0.05921872849107445
Charter / Spectrum,-0.010182468445632753,0.012090591608139013,0.00014618240543480153,0.000541460792873925,-0.8421811583461499,0.8001567206768241,0.9278350515463918,0.3378439487302146
Cintas,0.022006852948344813,0.019384708160135468,0.0003757669104536226,0.02149491454779831,1.1352687265935615,0.12813137065003766,0.5154639175257731,0.09737984169402863
