firm_name,job_id,callback,white
Rite Aid,25,0,1
Rite Aid,7419,0,0
Rite Aid,9322,0,1
Rite Aid,4648,0,1
Rite Aid,4652,0,1
Rite Aid,4624,0,0
Rite Aid,10660,0,0
Rite Aid,7485,0,1
Rite Aid,5,0,0
Rite Aid,6695,0,1
Rite Aid,16,1,0
Rite Aid,7481,0,1
Rite Aid,9320,0,1
Rite Aid,2,0,0
Rite Aid,20,0,1
Rite Aid,9608,1,1
Rite Aid,10,0,1
Rite Aid,10662,0,1
Rite Aid,4649,0,0
Rite Aid,18,0,1
Rite Aid,7484,0,0
Rite Aid,8548,0,0
Rite Aid,10394,0,0
Rite Aid,10174,0,1
Rite Aid,20,0,1
Rite Aid,4652,0,1
Rite Aid,7486,0,1
Rite Aid,17,0,0
Rite Aid,18,0,1
Rite Aid,7,0,1
Rite Aid,20,0,1
Rite Aid,9605,0,0
Rite Aid,7478,0,1
Rite Aid,6695,0,1
Rite Aid,4597,1,1
Rite Aid,8,1,1
Rite Aid,6,0,0
Rite Aid,67,1,1
Rite Aid,9610,0,1
Rite Aid,23,0,1
Rite Aid,21,1,0
Rite Aid,4624,0,1
Rite Aid,9608,0,1
Rite Aid,4657,1,1
Rite Aid,7,0,0
Rite Aid,4625,0,0
Rite Aid,10394,0,1
Rite Aid,9324,0,0
Rite Aid,22,0,0
Rite Aid,8553,0,0
Rite Aid,8550,0,0
Rite Aid,9604,0,1
Rite Aid,7417,1,1
Rite Aid,4648,0,1
Rite Aid,8553,0,0
Rite Aid,8551,0,0
Rite Aid,8550,1,0
Rite Aid,8549,0,1
Rite Aid,8549,0,1
Rite Aid,8547,0,0
Rite Aid,8547,0,0
Rite Aid,6688,0,1
Rite Aid,4650,0,1
Rite Aid,4537,0,0
Rite Aid,4624,0,1
Rite Aid,10661,0,0
Rite Aid,10659,0,0
Rite Aid,4598,0,0
Rite Aid,10656,0,1
Rite Aid,7417,0,1
Rite Aid,22,0,1
Rite Aid,4652,0,0
Rite Aid,7481,0,1
Rite Aid,10390,1,1
Rite Aid,4646,0,1
Rite Aid,10663,0,0
Rite Aid,7484,1,0
Rite Aid,8545,0,1
Rite Aid,4624,0,1
Rite Aid,4651,0,0
Rite Aid,10394,0,0
Rite Aid,10181,1,1
Rite Aid,4648,0,0
Rite Aid,6689,0,0
Rite Aid,4659,0,0
Rite Aid,9319,0,1
Rite Aid,4656,1,1
Rite Aid,9323,0,1
Rite Aid,9324,0,0
Rite Aid,21,0,0
Rite Aid,9324,1,1
Rite Aid,9324,0,1
Rite Aid,10,0,0
Rite Aid,9325,0,0
Rite Aid,9318,0,1
Rite Aid,10389,0,1
Rite Aid,9604,1,1
Rite Aid,4650,0,1
Rite Aid,67,0,0
Rite Aid,10663,0,1
Rite Aid,4659,0,0
Rite Aid,6694,0,0
Rite Aid,9610,0,0
Rite Aid,4657,0,0
Rite Aid,8553,0,0
Rite Aid,4647,0,0
Rite Aid,3,0,1
Rite Aid,9319,0,1
Rite Aid,6,0,1
Rite Aid,7487,0,1
Rite Aid,7419,0,1
Rite Aid,8551,0,0
Rite Aid,4647,0,1
Rite Aid,10396,1,0
Rite Aid,9318,0,0
Rite Aid,7417,1,1
Rite Aid,8550,1,1
Rite Aid,10658,0,0
Rite Aid,18,0,0
Rite Aid,4597,0,1
Rite Aid,4646,0,0
Rite Aid,10662,0,1
Rite Aid,7420,1,0
Rite Aid,9320,0,0
Rite Aid,8548,0,1
Rite Aid,7481,0,1
Rite Aid,7485,0,1
Rite Aid,7487,1,1
Rite Aid,10663,0,0
Rite Aid,9607,0,1
Rite Aid,7485,0,0
Rite Aid,10657,0,0
Rite Aid,8547,0,0
Rite Aid,7480,0,1
Rite Aid,10181,0,0
Rite Aid,8550,1,1
Rite Aid,6542,1,1
Rite Aid,6542,1,1
Rite Aid,12,0,0
Rite Aid,9606,0,1
Rite Aid,10,1,1
Rite Aid,7486,0,0
Rite Aid,10662,1,0
Rite Aid,10179,1,0
Rite Aid,8551,1,1
Rite Aid,4537,0,1
Rite Aid,9610,0,1
Rite Aid,24,0,0
Rite Aid,58,1,1
Rite Aid,4626,0,1
Rite Aid,4595,0,1
Rite Aid,10176,0,0
Rite Aid,9611,0,0
Rite Aid,4658,1,1
Rite Aid,6689,0,0
Rite Aid,9606,1,0
Rite Aid,7420,1,1
Rite Aid,4651,0,1
Rite Aid,9318,0,0
Rite Aid,3,0,0
Rite Aid,4627,0,1
Rite Aid,4659,0,0
Rite Aid,6542,1,0
